listing_id,cover_photo_url,city,latitude,longitude,listing_type,room_type,guests,bedrooms,beds,baths,photos_count,min_nights,cleaning_fee,extra_guest_fee,instant_book,cancellation_policy,checkin_time,checkout_time,exact_location,single_fee_structure,ttm_adjusted_revpar,ttm_revpar,ttm_revenue,ttm_avg_rate,ttm_adjusted_occupancy,amenity_air_conditioning,amenity_arcade_games,amenity_baby_safety_gates,amenity_babysitter_recommendations,amenity_backyard,amenity_baking_sheet,amenity_barbecue_utensils,amenity_bathtub,amenity_bbq_grill,amenity_beach_access,amenity_beach_essentials,amenity_bed_linens,amenity_bidet,amenity_bikes,amenity_blender,amenity_board_games,amenity_body_soap,amenity_books_and_reading_material,amenity_breakfast,amenity_building_staff,amenity_cable_tv,amenity_carbon_monoxide_alarm,amenity_ceiling_fan,amenity_children_s_books_and_toys,amenity_children_s_dinnerware,amenity_children_s_playroom,amenity_cleaning_before_checkout,amenity_cleaning_products,amenity_clothing_storage,amenity_coffee,amenity_coffee_maker,amenity_conditioner,amenity_cooking_basics,amenity_crib,amenity_dedicated_workspace,amenity_dining_table,amenity_dishes_and_silverware,amenity_dishwasher,amenity_dryer,amenity_drying_rack_for_clothing,amenity_elevator,amenity_essentials,amenity_ethernet_connection,amenity_ev_charger,amenity_exercise_equipment,amenity_exterior_security_cameras_on_property,amenity_extra_pillows_and_blankets,amenity_fire_extinguisher,amenity_fire_pit,amenity_fireplace_guards,amenity_first_aid_kit,amenity_free_parking_on_premises,amenity_free_street_parking,amenity_freezer,amenity_game_console,amenity_garden_view,amenity_gym,amenity_hair_dryer,amenity_hammock,amenity_hangers,amenity_heating,amenity_high_chair,amenity_host_greets_you,amenity_hot_tub,amenity_hot_water,amenity_hot_water_kettle,amenity_indoor_fireplace,amenity_iron,amenity_keypad,amenity_kitchen,amenity_lake_access,amenity_laundromat_nearby,amenity_lock_on_bedroom_door,amenity_lockbox,amenity_long_term_stays_allowed,amenity_luggage_dropoff_allowed,amenity_microwave,amenity_mini_fridge,amenity_mini_golf,amenity_noise_decibel_monitors_on_property,amenity_ocean_view,amenity_outdoor_dining_area,amenity_outdoor_furniture,amenity_outdoor_kitchen,amenity_outdoor_playground,amenity_outdoor_shower,amenity_outlet_covers,amenity_oven,amenity_pack_n_play_travel_crib,amenity_paid_parking_off_premises,amenity_patio_or_balcony,amenity_pets_allowed,amenity_ping_pong_table,amenity_pocket_wifi,amenity_pool,amenity_pool_table,amenity_pool_view,amenity_portable_fans,amenity_private_entrance,amenity_private_living_room,amenity_record_player,amenity_refrigerator,amenity_resort_access,amenity_rice_maker,amenity_river_view,amenity_room_darkening_shades,amenity_safe,amenity_sauna,amenity_self_check_in,amenity_shampoo,amenity_shower_gel,amenity_single_level_home,amenity_smart_lock,amenity_smoke_alarm,amenity_smoking_allowed,amenity_sound_system,amenity_stove,amenity_sun_loungers,amenity_toaster,amenity_trash_compactor,amenity_tv,amenity_washer,amenity_waterfront,amenity_wifi,amenity_wine_glasses
155305,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU1MzA1/original/1e09d79f-b590-436a-bdbb-c844fdf2c5e2.jpeg,asheville,35.579,-82.596,Entire guesthouse,entire_home,2.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,Moderate,3:00 PM,10:00 AM,True,True,51.9,51.9,18938.0,115.6,0.438,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
197263,https://a0.muscache.com/im/pictures/miso/Hosting-197263/original/3bd6a89d-b0aa-41ed-9735-259ed679883d.jpeg,asheville,35.577,-82.638,Private room in home,private_room,,,1.0,0.0,5.0,2.0,15.0,0.0,,Moderate,2:00 PM,11:00 AM,False,True,5.1,5.1,1962.0,55.6,0.096,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1
209068,https://a0.muscache.com/im/pictures/1829924/9f3bf225_original.jpg,asheville,35.618,-82.552,Entire guest suite,entire_home,4.0,1.0,2.0,1.0,18.0,30.0,2820.0,,False,Strict,2:00 PM,11:00 AM,True,False,10.7,7.4,2689.0,105.6,0.108,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1
246315,https://a0.muscache.com/im/pictures/5908224/37dd3a66_original.jpg,asheville,35.596,-82.506,Private room in cabin,private_room,,,1.0,0.0,21.0,7.0,66.0,15.0,False,Strict,3:00 PM,10:00 AM,False,False,4.5,4.3,1828.0,74.3,0.061,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
314540,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzE0NTQw/original/c482fc96-28d2-4c03-a178-67c27cc5e281.jpeg,asheville,35.586,-82.627,Entire home,entire_home,6.0,4.0,5.0,2.0,56.0,2.0,220.0,0.0,,Flexible,,,,,77.6,70.1,32200.0,288.6,0.291,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1
621243,https://a0.muscache.com/im/pictures/fd26f75e-e0c6-458c-a44a-9d262468ebe3.jpg,asheville,35.604,-82.549,Entire rental unit,entire_home,2.0,1.0,2.0,1.0,47.0,1.0,74.0,0.0,False,Firm,4:00 PM,11:00 AM,False,False,14.6,14.6,6069.0,174.7,0.082,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1
660702,https://a0.muscache.com/im/pictures/e0016bec-0561-4749-8dcd-983c11f3a4b4.jpg,asheville,35.621,-82.553,Entire home,entire_home,4.0,1.0,2.0,1.0,17.0,1.0,45.0,0.0,,Firm,4:00 PM,11:00 AM,True,True,90.4,90.4,35993.0,113.7,0.792,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1
875735,https://a0.muscache.com/im/pictures/daf38644-9cf3-44e1-9898-53c3fd296b24.jpg,asheville,35.585,-82.505,Private room in home,private_room,,,1.0,0.0,19.0,2.0,19.0,0.0,,Flexible,,,False,True,26.3,24.9,9507.0,62.2,0.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
943832,https://a0.muscache.com/im/pictures/miso/Hosting-943832/original/56c4ed0f-23c8-4073-a29c-781bd7692f6b.jpeg,asheville,35.61,-82.578,Entire home,entire_home,6.0,3.0,3.0,1.5,49.0,4.0,175.0,0.0,False,Moderate,4:00 PM,10:00 AM,False,False,11.1,11.1,4216.0,208.2,0.049,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
977054,https://a0.muscache.com/im/pictures/16539956/39069605_original.jpg,asheville,35.615,-82.557,Entire guesthouse,entire_home,2.0,1.0,1.0,1.0,21.0,30.0,1786.0,,False,Strict,4:00 PM,11:00 AM,True,False,18.0,9.4,3419.0,74.6,0.195,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1
