city,observed_median_adjusted_revpar,observed_mean_adjusted_revpar,listing_count,market_percentile
carolina_beach,100.80000000000001,109.77401960784314,204,100.0
gatlinburg,97.39999999999998,117.940625,224,90.0
wilmington,73.60000000000002,77.60976744186046,215,80.0
charlotte,71.69999999999997,76.07101449275363,207,70.0
myrtle_beach,65.6,92.4505928853755,253,60.0
raleigh,65.2,71.92142857142856,224,50.0
durham,61.60000000000001,68.57976190476191,168,40.0
asheville,58.999999999999986,71.86751269035533,197,30.0
pigeon_forge,54.79999999999998,82.49683257918552,221,20.0
williamsburg,33.4,47.37348837209302,215,10.0
